,ProductName,Description,Gender,PrimaryColor,ProductBrand
105,parfait  size women black  red printed lace detail hipster brief 2805,"black and red printed low-rise hipster briefs with lace detail, has an inner elasticated waistband with lace detail, double layered gusset",women, red,parfait
107,jewel junction  geometric cufflinks,a pair of gold-toned geometric textured cufflinkscomes in a signature jewel junction case,men, gold,jewel junction
108,tokyo talkies  black & red floral print fit and flare dress,"black and red printed woven fit and flare %s, has a round neck, three-quarter sleeves, concealed zip closure, and flared hem",women, red,tokyo talkies
110,sera  black printed loose fit regular shorts,"black and pink printed above knee length mid-rise-rise regular shorts, has two pockets",women, black,sera
111,gini and jony  black & grey embroidered regular fit shorts,"black and grey embroidered, has a partially elasticated waistband, hook and bar closure, 4 pockets",boys, red,gini and jony
112,accessher  & black multistrand head chain,gold-plated and black multistranded head chain secured with insert closure,women, black,accessher
114,ahilya  silver statement ring,"sterling silver ring, has a circular detail with multiple teardrop-shaped patterns",women, silver,ahilya
115,spykar  blue alexa super skinny fit high-rise clean look stretchable cropped jeans,"blue medium wash 5-pocket high-rise cropped jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",women,blue,spykar
116,fido dido  grey & black printed colourblocked polo collar t-shirt,"black and grey colourblocked printed t-shirt, has a round neck, short sleeves",men, black,fido dido
117,parx  pink slim fit solid casual shirt,"pink solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men, pink,parx
118,parx  navy blue slim fit printed casual shirt,"navy blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men,blue,parx
119,sera  white self design top,"white self-design knitted regular  top, has a round neck, sleeveless, and concealed zip closure",women, white,sera
121,id  grey solid thong flip-flops,a pair of grey solid flip flopssynthetic upper materialcushioned footbedpatterned synthetic outsolewarranty: 3 monthswarranty provided by brand/manufacturer,men, grey,id
122,jewel junction  geometric cufflinks,a pair of silver-toned geometric solid cufflinkscomes in a signature jewel junction case,men, silver,jewel junction
123,dkny unisex gold & white printed cabin trolley bag,"gold and white printed cabin trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketswarranty: 5 yearswarranty provided by brand owner / manufacturer",unisex, white,dkny
124,parx  khaki slim fit solid regular trousers,"khaki solid mid-rise regular trousers, has a button closure, four pockets",men, khaki,parx
126,parfait  size blue lace underwired lightly padded plunge bra p5351,blue lace half-coverage plunge bra lightly padded and underwired seamless cups regular straps and back closure back style: regular feature: all day comfort,women,blue,parfait
127,lady lyka  peach and burgundy pack of 2 everyday bras entizer-11-pch-whn,pack of 2peach and burgundy solid medium-coverage everyday branon padded and non-wired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,women, burgundy,lady lyka
128,difference of opinion  olive green printed round neck t-shirt,t-shirt,men, green,difference of opinion
130,homesake  & white solid handcrafted table lamp with shade,type: handcrafted table lamp with shadecolour: gold-toned and whitepattern: solidshape: frustumshade material: fabricbase material: aluminiumbulb holder type: e27switch type: toggle buttoncomes with bulb,unisex, white,homesake
131,id  black leather formal derbys,"a pair of black round-toed formal derbys, has central lace-upsleather uppercushioned footbedtextured pu outsole, has a stacked heelwarranty: 3 months against manufacturing defect onlywarranty provided by the brand owner / manufacturer",men, black,id
132,soie  underwired non padded full coverage everyday bra fb-610crimson,brown full-coverage everyday bra non padded and flexible underwired seamless three layered cupscushioned front straps with lace and back closuresandwiched brushed layer for no show apex,women, red,soie
133,gas  navy blue regular fit mid-rise clean look stretchable jeans,"navy blue dark wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",women,blue,gas
134,homesake  & navy blue solid handcrafted table lamp with shade,type: handcrafted table lamp with shadecolour: gold-toned and navy bluepattern: solidshape: frustumshade material: fabricbase material: aluminiumbulb holder type: e27switch type: toggle buttoncomes with bulb,unisex,blue,homesake
135,highlander  navy blue & grey slim fit striped regular trousers,"navy blue and grey striped mid-rise regular trousers, has a button closure, four pockets",men,blue,highlander
136,with  black slim fit solid casual shirt,"black solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",men, black,with
